# Session	animalID	occasion	TrapID	sex
1	JHJ09	1	TR14	f
1	JMA07	1	TR12	m
1	JMA06	2	TR09	m
1	JHJ09	3	TR12	f
1	JMJ01	11	TR34	m
1	JHJ13	13	TR28	f
1	JMA07	13	TR10	m
1	JMA06	14	TR19	m
1	JMA07	14	TR12	m
1	JMA06	15	TR19	m
1	JHJ11	17	TR22	f
1	JHA10	19	TR24	f
1	JHJ13	19	TR28	f
1	JMA06	19	TR09	m
1	JHA10	20	TR22	f
1	JHA10	22	TR18	f
1	JMJ01	22	TR34	m
1	JHJ09	23	TR15	f
1	JHA24	23	TR52	f
1	JHJ13	26	TR28	f
1	JMJ01	26	TR03	m
1	JHJ09	28	TR12	f
1	JMJ01	28	TR03	m
1	JNJ18	30	TR58	NA
1	JMA06	32	TR09	m
1	JHA05	33	TR09	f
1	JHA05	33	TR09	f
1	JHJ13	33	TR30	f
1	JHA04	35	TR08	f
1	JHA04	36	TR08	f
1	JMJ01	37	TR03	m
1	JMJ01	37	TR34	m
1	JHJ13	39	TR30	f
1	JMJ01	42	TR34	m
1	JHA04	43	TR08	f
1	JHA03	45	TR08	f
1	JHA04	45	TR08	f
1	JMA07	45	TR12	m
1	JMJ01	46	TR34	m
1	JHA03	47	TR08	f
1	JHA05	47	TR12	f
1	JNN22	47	TR11	NA
1	JMA07	48	TR09	m
1	JMJ01	49	TR34	m
1	JHJ09	51	TR12	f
1	JMJ01	52	TR02	m
1	JHA03	53	TR08	f
1	JHA03	54	TR08	f
1	JHA03	54	TR08	f
1	JNJ20	56	TR32	NA
1	JNA19	57	TR35	NA
1	JHA03	59	TR08	f
1	JHA03	59	TR08	f
1	JHJ11	59	TR20	f
1	JHJ09	60	TR12	f
1	JMJ01	60	TR03	m
1	JMA06	61	TR09	m
1	JMJ01	61	TR62	m
1	JMJ01	62	TR03	m
1	JHA03	63	TR08	f
1	JHA03	63	TR08	f
1	JHJ02	63	TR39	f
1	JHJ09	63	TR27	f
1	JMA07	63	TR09	m
1	JMA07	64	TR09	m
1	JMJ01	65	TR03	m
1	JMJ01	67	TR03	m
1	JHA05	68	TR09	f
1	JHJ02	71	TR07	f
1	JMA06	72	TR09	m
1	JMJ01	75	TR34	m
1	JHA03	76	TR08	f
1	JMA07	76	TR12	m
1	JHA04	77	TR11	f
1	JMJ01	79	TR63	m
1	JHJ09	82	TR12	f
1	JHA10	87	TR20	f
1	JNJ12	88	TR25	NA
1	JHA03	90	TR08	f
1	JHA10	91	TR21	f
1	JMJ01	91	TR02	m
